Name,Locality,State,Country,Latitude,Longitude,Room Type,Guest Count,Price,Ratings
HighQ Manali / Deluxe Room,Manali,Himachal Pradesh,India,32.2233,77.18228,Room in hotel,3,8946,0
Highq manali / 3 BHK Cottage,Manali,Himachal Pradesh,India,32.22352,77.18152,Room in hotel,9,9124,0
Best view of the river from your terrace 04,Goa,Goa,India,15.504,73.866,Private room in home,4,9900,4.0
Shabashe,Bhuntar,Himachal Pradesh,India,31.88656,77.14467,Shared room in rental unit,1,8684,0
Luxurious Independent Studio with Wifi & Kitchen,Jaipur,Rajasthan,India,26.85991,75.66909,Entire condo,1,20690,4.75
Aman Palace Guest House Kasol With Super Deluxe Room,Bhuntar,Himachal Pradesh,India,32.01248,77.29114,Room in hotel,3,4274,0
Aman Palace Guest House Kasol With Deluxe Room,Bhuntar,Himachal Pradesh,India,32.01204,77.2909,Room in hotel,2,4274,0
Boutique destination wedding experience  50pax pkg,Gurugram,Haryana,India,28.36673,77.00647,Farm stay,16,1734,0
Lux farm resort with pool - Villa,Ganaheda,Rajasthan,India,26.49372,74.5383,Farm stay,12,1804,0
Deluxe Room,Banjar,Himachal Pradesh,India,31.63839,77.34503,Room in hotel,3,2822,0
"Vedatmana By The Waves, Morjim",Morjim,Goa,India,15.62707,73.7327,Entire villa,12,902,0
Marriage  Or Party Full Resort For 30 Persons,Gurugram,Haryana,India,28.35517,77.00426,Farm stay,16,1443,0
StayVista - Pranaam - 6Bhk Luxury Alibaug,Awas,Maharashtra,India,18.76514,72.87878,Entire villa,15,912,0
Luxury PoolSide Heritage Villa in Lap of Nature,Bengaluru,Karnataka,India,13.12752,77.56391,Private room in resort,16,882,0
12 BR Mansion | Big Groups | Private Pool | Scenic,Sangolda,Goa,India,15.54799,73.81177,Entire villa,16,1374,0
An extravagant Pushp villa overlooking the Ganges,Rishikesh,Uttarakhand,India,30.13704,78.30683,Entire villa,8,788,0
Perfect for Big Groups! 8BR Villa w Pool in Parra,Parra,Goa,India,15.57329,73.7767,Entire villa,16,978,0
Brookwood Gardens Wedding Guest Rooms,New Delhi,Delhi,India,28.496,77.166,Farm stay,16,962,0
Pahalgham Cottage Next to the River,Aru,Jammu and Kashmir,India,34.09091,75.26407,Entire cottage,10,782,0
Crystal Village 10 Bedroom Pvt Pool villa Nagoa,North Goa,Goa,India,15.56203,73.78613,Entire home,16,854,0
Flamingo lovely boutique villa 11 bed Luxury Space,Mararikulam,Kerala,India,9.58429,76.3051,Entire home,16,1443,0
10 BHK Luxury Villa w Pool - Modern Cottage Style,Awas,Maharashtra,India,18.76034,72.88551,Entire villa,16,1325,4.89
"6 BHK Villa W/pool,wifi- LuaCheia,canacona , Goa",Canacona,Goa,India,14.9939,74.0571,Entire villa,13,1220,0
"Luxury Entire Heritage Villa, Wifi",Nainital,Uttarakhand,India,29.38514,79.45673,Entire villa,16,842,0
A majestic luxurious villa overlooking the Ganges,Pathau,Uttarakhand,India,30.1373,78.30656,Entire villa,8,913,0
Azara Serenidad 5BHK Private Pool Villa in Anjuna,Anjuna,Goa,India,15.58917,73.75996,Entire villa,10,1185,0
Homfortable Loshgyani Estate-Rustic forest retreat,Nathuwakhan,Uttarakhand,India,29.47118,79.58584,Farm stay,12,1118,0
Entire boutique stay with 8 rooms Khvaab Manali,Manali,Himachal Pradesh,India,32.29923,77.17704,Room in boutique hotel,16,962,0
Casa Susegad - Restored Indo-Portuguese Mansion,Loutolim,Goa,India,15.33419,73.97759,Entire villa,14,902,0
8BHK(2X4) Super Luxurious @candolim,Candolim,Goa,India,15.51782,73.76411,Entire serviced apartment,16,782,0
Private Pool Villa with meals for 10+ guests.,Karjat,Maharashtra,India,18.91863,73.33386,Entire villa,16,962,0
Assagao Bay: Luxury Villa by the Rose Nomad,Assagao,Goa,India,15.59765,73.77297,Entire villa,8,842,0
"Mohan Niwas Palace, A Heritage Homestay in Panna.",Panna,Madhya Pradesh,India,24.71172,80.17358,Entire villa,8,1443,0
Welcome to 16 Bedroom Gem hidden in Nature!,Nashik,Maharashtra,India,20.07376,73.64485,Farm stay,16,1082,0
45 foot 3BR Yacht at Mumbai Harbour,Mumbai,Maharashtra,India,18.92245,72.83399,Boat,8,1503,0
"Himalayan Kothi, Kais",Kullu,Himachal Pradesh,India,32.03766,77.14406,Room in boutique hotel,2,1203,0
StayVista at 5 rooms @ Vyoman,Lonavla,Maharashtra,India,18.70197,73.45109,Private room in villa,10,1004,0
PALACIO   LONAVALA,Lonavla,Maharashtra,India,18.77152,73.37963,Entire villa,12,902,0
22BHK(5+5+6+6) PRIVATE POOL VILLA near CANDOLIM,Nerul,Goa,India,15.50637,73.79914,Entire villa,16,1203,0
Woods Goa Bunglow,SALIGAO,Goa,India,15.5554,73.78126,Entire bungalow,16,782,0
Room at Ribandar Hill ..Value for money 01,Ribandar,Goa,India,15.504,73.866,Shared room in guest suite,2,1203,4.2
"Paloma, Baale Resort Goa, Luxury 3 Bedroom Villa",Arpora,Goa,India,15.54944,73.7637,Private room in resort,8,1385,0
"Koi, Baale Resort Goa, Luxury 4 Bedroom Villa",Arpora,Goa,India,15.54762,73.76425,Private room in resort,10,1529,0
Super Luxury 4BHK Villa with Excellent Service,Guirim,Goa,India,15.56865,73.8132,Entire villa,12,902,0
Farmhouse Gardens & Swimming Pool for film shoots,New Delhi,Delhi,India,28.443,77.167,Farm stay,6,1503,0
Beautiful Cottage in the village of Bujera Udaipur,Udaipur,Rajasthan,India,24.49092,73.58379,Entire villa,7,1263,0
BnB with Antique furniture in River view place 02,Panaji,Goa,India,15.504,73.866,Private room in villa,2,1097,4.83
Brookwood Gardens Wedding Venue,New Delhi,Delhi,India,28.495,77.136,Farm stay,16,1203,0
Stunning Luxury 16 bedroom Villa + Private Pool,Arpora,Goa,India,15.535,73.767,Entire villa,16,1172,0
"Lakeside 20 AC Rooms In Kumarakom, Kerala, India",Kumarakom,Kerala,India,9.58518,76.42182,Farm stay,16,788,0
Private Beach Touch Villa,Anjuna,Goa,India,15.57058,73.7415,Entire villa,4,902,0
Brookwood Gardens Glasshouse Party Venue,New Delhi,Delhi,India,28.49204,77.13633,Farm stay,16,962,0
A luxury heritage Goan Boutique villa in Panjim,Panaji,Goa,India,15.49643,73.81885,Private room in villa,15,1168,0
6BHK Celebrity Ultra Luxury Villa at Baga,Calangute,Goa,India,15.54723,73.76524,Entire villa,14,842,0
Valley Meadows Farm,Assonora,Goa,India,15.62133,73.89804,Room in boutique hotel,16,1022,0
Farmhouse for wedding and pre-wedding function !!!,New Delhi,Delhi,India,28.43832,77.18967,Farm stay,16,1203,0
Unique Breathtaking Luxury Villa with Party Room,Gauravaddo,Goa,Goa,15.535,73.767,Entire home,10,888,4.33
Farm resort (AC halls avb./16 rooms/40 ppl stay),Gurugram,Haryana,India,28.36638,77.00665,Farm stay,16,1311,0
PRE-WEDDING @ EXQUISITE PRIVATE FARM,New Delhi,Delhi,India,28.44808,77.18313,Farm stay,16,1203,0
8 Bedroom Luxury Private Pool Villa ! Breakfast,North Goa,Goa,India,15.55636,73.78057,Entire villa,16,842,0
"Escape to Paradise, Your Group Getaway 12-36 Pax",Goa,Goa,India,15.535,73.767,Entire villa,16,978,5.0
ChaCha Villa,Abu Road,Rajasthan,India,24.53351,72.79282,Entire bungalow,12,1082,0
9 Luxury Heritage Boutique stay in Fontainhas Goa,Panjim,Goa,India,15.49783,73.83033,Room in heritage hotel,16,842,0
7 BedRoom Villa on the Chapora River in Colvale,Colovale,Goa,India,15.64852,73.81753,Entire villa,10,962,4.6
Natural Pearl Farms,Kukas,Rajasthan,India,27.08777,75.88661,Farm stay,8,842,0
